event_id,time,magnitude,depth_km,latitude,longitude,quality
2016p858876,2016-11-13T18:49:25.101598Z,4.71,5.777,-41.97056961,174.0320892,1
2016p935725,2016-12-12T05:14:21.003889Z,4.72,15.587,-41.79870224,174.1924744,1
2016p976987,2016-12-27T11:38:46.406522Z,4.73,13.203,-42.3863211,173.7082923,1
2016p864401,2016-11-15T19:53:02.744815Z,4.74,8.822,-41.6403923,174.4121246,1
2017p819775,2017-10-31T07:36:07.022652Z,4.75,11.627,-37.46266174,177.3622894,1
2017p266099,2017-04-09T10:57:59.815172Z,4.76,14.250,-41.61719894,175.2894897,1
2013p572878,2013-07-31T23:10:11.446534Z,4.76,17.070,-41.55817752,174.3865718,1
2016p863723,2016-11-15T13:52:03.230684Z,4.76,11.551,-41.69571304,174.1794281,1
2016p866561,2016-11-16T15:03:49.905573Z,4.78,5.000,-42.47074509,173.3717346,1
2019p304574,2019-04-23T16:37:10.033368Z,4.79,24.612,-40.2598381,175.9666748,1
2016p859872,2016-11-14T03:40:18.721966Z,4.79,9.192,-41.73059464,174.3499908,1
2228901,2004-05-11T23:22:03.427000Z,4.80,5.000,-38.02504,178.17769,1
3540318,2011-07-04T08:36:51.677000Z,4.80,12.000,-40.79179,177.00922,1
2016p865557,2016-11-16T06:09:39.435496Z,4.81,5.000,-41.70568848,174.4227295,1
2017p381325,2017-05-22T02:10:04.883509Z,4.81,5.414,-42.20776749,173.6417236,1
2013p547469,2013-07-22T13:31:46.155249Z,4.82,19.883,-41.56194139,174.344404,1
2017p852531,2017-11-12T10:28:56.348882Z,4.82,35.703,-41.17444289,174.4269955,1
2017p087060,2017-02-02T05:05:39.319521Z,4.83,27.488,-37.77571106,177.546875,1
2015p794154,2015-10-21T20:05:45.520261Z,4.85,18.008,-39.28237242,173.8805039,1
2019p938537,2019-12-14T06:12:36.879424Z,4.87,44.811,-39.25822449,176.1366882,1
2016p895574,2016-11-27T08:42:16.339071Z,4.89,9.229,-41.73691177,174.254364,1
2266782,2004-07-18T03:58:06.069000Z,4.90,5.000,-38.01088,176.49699,1
2353002,2005-01-18T09:26:00.068000Z,4.90,17.966,-41.46357,175.80118,1
2684211,2007-01-18T03:34:14.318000Z,4.90,50.854,-39.54107,175.85541,1
3369346,2010-09-09T04:18:48.330000Z,4.90,15.713,-40.41871,176.78368,1
3493233,2011-04-07T07:16:15.686000Z,4.90,33.000,-42.21763,177.42648,1
2018p465580,2018-06-22T06:21:00.801931Z,4.90,16.732,-40.30649185,176.5974731,1
2013p544960,2013-07-21T15:15:11.707128Z,4.90,14.492,-41.43998126,174.3099568,1
2014p952799,2014-12-19T12:51:22.482070Z,4.92,33.066,-38.25200438,177.9926199,1
2013p507880,2013-07-07T21:58:46.744269Z,4.94,30.388,-39.81217575,176.6668243,1
2012p988084,2012-12-31T14:11:11.798788Z,4.94,10.039,-39.28651339,173.6876587,1
2013p543121,2013-07-20T22:55:16.892551Z,4.96,19.648,-41.56228495,174.3844305,1
2013p574429,2013-08-01T12:56:13.236196Z,4.96,11.680,-41.74968313,174.318333,1
2013p545809,2013-07-21T22:47:24.323905Z,4.96,15.078,-41.61145532,174.2553772,1
2016p867239,2016-11-16T21:05:00.919868Z,4.97,11.076,-41.69453049,174.1667023,1
2016p880389,2016-11-21T17:51:37.034407Z,4.98,5.000,-42.15437698,173.5819092,1
2013p618032,2013-08-17T16:07:52.763228Z,4.99,16.953,-41.70907541,174.1142068,1
2974058,2008-09-24T22:40:41.937000Z,5.00,16.727,-42.19803,173.97783,1
2974665,2008-09-26T07:23:02.845000Z,5.00,23.894,-42.30863,173.92352,1
3367989,2010-09-06T22:48:33.663000Z,5.00,21.142,-40.38838,176.72292,1
3413873,2010-11-28T01:22:13.142000Z,5.00,25.190,-40.88183,175.54485,1
2016p860567,2016-11-14T09:49:56.794300Z,5.01,9.553,-42.43452454,173.7741547,1
2013p616691,2013-08-17T04:13:20.691678Z,5.01,8.633,-41.77548829,174.0036731,1
2012p560243,2012-07-26T06:57:47.954343Z,5.01,27.090,-40.54078089,176.1585253,1
2019p665658,2019-09-04T07:02:52.385251Z,5.02,5.000,-38.8513298,175.9097595,1
2013p666224,2013-09-04T12:04:10.554973Z,5.02,13.086,-41.4927297,174.4299966,1
2016p198476,2016-03-14T10:28:04.208382Z,5.04,8.831,-42.28046417,173.020752,1
2013p142607,2013-02-22T18:21:53.234034Z,5.05,24.805,-39.24777227,177.3736234,1
2017p292246,2017-04-19T03:08:42.632596Z,5.09,38.047,-38.51237185,177.6910721,1
2017p084950,2017-02-01T10:21:29.759031Z,5.09,21.136,-42.29034042,173.7621307,1
2359081,2005-01-31T17:31:53.291000Z,5.10,19.853,-41.45723,175.76167,1
3337804,2010-07-11T13:23:40.275000Z,5.10,33.000,-38.95898,177.35991,1
2016p861632,2016-11-14T19:17:34.290413Z,5.14,5.000,-42.23801804,173.6977997,1
2016p842451,2016-11-07T16:59:07.167808Z,5.14,13.519,-39.31875992,173.7597046,1
2016p859929,2016-11-14T04:10:21.828468Z,5.14,5.000,-42.14295959,173.5823517,1
2018p130600,2018-02-18T07:43:48.127644Z,5.16,20.595,-39.94897461,176.2995148,1
2016p356297,2016-05-11T19:55:18.243942Z,5.16,27.266,-40.91710385,175.4226134,1
2016p858848,2016-11-13T18:34:27.618525Z,5.16,13.297,-41.77605057,174.1804504,1
2016p859378,2016-11-13T23:17:33.343459Z,5.17,9.816,-42.10297394,173.8491058,1
2013p563639,2013-07-28T13:07:14.815628Z,5.19,8.867,-41.62145782,174.2693231,1
2013p614487,2013-08-16T08:38:55.354364Z,5.19,17.070,-41.68244489,174.1305693,1
2016p859439,2016-11-13T23:49:12.053487Z,5.19,6.916,-41.70961761,174.3457489,1
2352986,2005-01-18T08:36:04.241000Z,5.20,18.764,-41.46338,175.78934,1
2593170,2006-07-08T11:27:17.727000Z,5.20,32.789,-39.17957,176.82281,1
2922302,2008-06-12T21:06:24.237000Z,5.20,5.000,-37.58283,177.09467,1
2016p275188,2016-04-11T19:41:06.568548Z,5.20,23.867,-40.89297465,175.4943879,1
2014p240655,2014-03-31T01:01:19.472896Z,5.24,17.305,-39.970257,176.55189,1
2016p862742,2016-11-15T05:09:27.646158Z,5.27,11.157,-42.28828812,173.6486969,1
2019p754447,2019-10-07T03:29:48.367981Z,5.28,38.145,-38.26429367,177.3336639,1
2354133,2005-01-20T18:56:31.429000Z,5.30,30.847,-41.09117,175.05261,1
2015p822263,2015-11-01T05:42:11.671776Z,5.38,54.922,-39.38937453,175.9597209,1
2019p927023,2019-12-09T23:58:01.907909Z,5.39,29.013,-38.87031174,178.0682831,1
2266243,2004-07-18T04:22:22.727000Z,5.40,5.000,-38.00536,176.51411,1
2017p012082,2017-01-05T11:17:34.879638Z,5.41,14.368,-41.80748749,174.0366211,1
2014p715167,2014-09-22T14:41:22.944815Z,5.46,25.391,-40.54048904,175.9324277,1
2013p614294,2013-08-16T06:55:58.920101Z,5.47,17.070,-41.67755395,174.2764568,1
2013p617227,2013-08-17T08:58:40.318754Z,5.50,15.078,-41.73263618,174.0642932,1
2016p913880,2016-12-04T03:15:47.108522Z,5.52,10.656,-41.69029999,174.235672,1
2016p858508,2016-11-13T15:33:04.701947Z,5.53,7.179,-41.78993225,174.2350159,1
2016p881118,2016-11-22T00:19:42.525939Z,5.55,29.112,-40.67358017,177.2288055,1
2016p981371,2016-12-29T02:34:33.905128Z,5.56,16.016,-41.54913308,174.4618657,1
2016p860215,2016-11-14T06:43:00.476414Z,5.58,13.152,-41.76691055,174.2632751,1
2016p858951,2016-11-13T19:28:56.934526Z,5.59,5.000,-42.36377335,174.0193481,1
2017p795065,2017-10-22T04:10:59.674111Z,5.59,8.275,-42.35814285,173.4589386,1
2013p613867,2013-08-16T03:09:07.725626Z,5.63,7.461,-41.74297247,174.0611824,1
2019p738432,2019-10-01T05:16:41.168796Z,5.65,22.004,-39.15775299,177.7724152,1
2015p768477,2015-10-12T08:05:01.717692Z,5.69,23.281,-40.57806609,176.3257242,1
2013p537512,2013-07-18T21:06:39.068623Z,5.70,20.645,-41.54557104,174.4045934,1
2016p105478,2016-02-09T00:39:00.115717Z,5.75,48.125,-42.06829695,173.0748256,1
2016p860287,2016-11-14T07:21:04.889714Z,5.75,11.482,-41.73667526,174.2872314,1
2013p542711,2013-07-20T19:17:10.844582Z,5.77,20.703,-41.5537,174.3903082,1
2016p862339,2016-11-15T01:34:45.265970Z,5.82,5.817,-41.68177795,174.2169342,1
2013p614135,2013-08-16T05:31:17.002107Z,5.96,14.961,-41.6310176,174.2540207,1
2016p858279,2016-11-13T13:31:27.507278Z,5.99,13.954,-42.2741127,173.6455231,1
2017p741217,2017-10-02T06:00:37.649998Z,4.40,13.206,-41.67219925,174.2772217,2
2012p814948,2012-10-28T12:44:33.886181Z,4.42,19.883,-40.1707053,174.8737015,2
2018p328963,2018-05-02T17:11:49.907720Z,4.42,11.091,-41.72980881,174.2710266,2
2018p937397,2018-12-13T20:05:17.433671Z,4.43,38.638,-40.29960251,175.9619598,2
